英文	中文
accord	协议
accord	协议
accord	协议
accord	协议
accord	协议
air	发布
air	发布
air	发布
air	发布
air	发布
assail	强烈谴责
assail	强烈谴责
assail	强烈谴责
assail	强烈谴责
assail	强烈谴责
back	支持
back	支持
back	支持
back	支持
back	支持
ban	禁止
ban	禁止
ban	禁止
ban	禁止
ban	禁止
bid	努力
bid	努力
bid	努力
bid	努力
bid	努力
blast	爆炸/强烈谴责
blast	爆炸/强烈谴责
blast	爆炸/强烈谴责
blast	爆炸/强烈谴责
blast	爆炸/强烈谴责
boom	快速增长
boom	快速增长
boom	快速增长
boom	快速增长
boom	快速增长
cite	提到
cite	提到
cite	提到
cite	提到
cite	提到
clash	战争/争论/强烈不同意
clash	战争/争论/强烈不同意
clash	战争/争论/强烈不同意
clash	战争/争论/强烈不同意
clash	战争/争论/强烈不同意
curb	限制/控制
curb	限制/控制
curb	限制/控制
curb	限制/控制
curb	限制/控制
dip	减小
dip	减小
dip	减小
dip	减小
dip	减小
envoy	使者
envoy	使者
envoy	使者
envoy	使者
envoy	使者
eve	前夜
eve	前夜
eve	前夜
eve	前夜
eve	前夜
flay	强烈谴责
flay	强烈谴责
flay	强烈谴责
flay	强烈谴责
flay	强烈谴责
foil	阻止
foil	阻止
foil	阻止
foil	阻止
foil	阻止
gut	烧毁
gut	烧毁
gut	烧毁
gut	烧毁
gut	烧毁
heist	抢劫/偷窃
heist	抢劫/偷窃
heist	抢劫/偷窃
heist	抢劫/偷窃
heist	抢劫/偷窃
hurdle	障碍
hurdle	障碍
hurdle	障碍
hurdle	障碍
hurdle	障碍
key	关键的
key	关键的
key	关键的
key	关键的
key	关键的
lash out	强烈谴责
lash out	强烈谴责
lash out	强烈谴责
lash out	强烈谴责
lash out	强烈谴责
nod	同意
nod	同意
nod	同意
nod	同意
nod	同意
launch	发起
launch	发起
launch	发起
launch	发起
launch	发起
link	连接
link	连接
link	连接
link	连接
link	连接
aid	帮助
aid	帮助
aid	帮助
aid	帮助
aid	帮助
arms	武器
arms	武器
arms	武器
arms	武器
axe/cut	减少
axe/cut	减少
axe/cut	减少
axe/cut	减少
axe/cut	减少
balk	拒绝接受
balk	拒绝接受
balk	拒绝接受
balk	拒绝接受
balk	拒绝接受
bar	防止
bar	防止
bar	防止
bar	防止
bar	防止
bilk	欺骗
bilk	欺骗
bilk	欺骗
bilk	欺骗
bilk	欺骗
bolt	遗弃
bolt	遗弃
bolt	遗弃
bolt	遗弃
bolt	遗弃
boost	提升、增加
boost	提升、增加
boost	提升、增加
boost	提升、增加
boost	提升、增加
claim	声称
claim	声称
claim	声称
claim	声称
claim	声称
cop	警察
cop	警察
cop	警察
cop	警察
cop	警察
deal	生意
deal	生意
deal	生意
deal	生意
deal	生意
drive	运动
drive	运动
drive	运动
drive	运动
drive	运动
ease	减少兴趣
ease	减少兴趣
ease	减少兴趣
ease	减少兴趣
ease	减少兴趣
eye	有兴趣地观看
eye	有兴趣地观看
eye	有兴趣地观看
eye	有兴趣地观看
eye	有兴趣地观看
foe	敌人
foe	敌人
foe	敌人
foe	敌人
foe	敌人
grip	紧握
grip	紧握
grip	紧握
grip	紧握
grip	紧握
head off	防止
head off	防止
head off	防止
head off	防止
hold	逮捕
hold	逮捕
hold	逮捕
hold	逮捕
hold	逮捕
ink	签字
ink	签字
ink	签字
ink	签字
ink	签字
kick of	开始
kick of	开始
kick of	开始
kick of	开始
kick of	开始
lop	删减
lop	删减
lop	删减
lop	删减
lop	删减
laud	赞美
laud	赞美
laud	赞美
laud	赞美
laud	赞美
line	安置
line	安置
line	安置
line	安置
line	安置
loom	可预见
loom	可预见
loom	可预见
loom	可预见
loom	可预见
assail	强烈谴责
heist	抢劫/偷窃
head off	防止
clash	战争/争论/强烈不同意
balk	拒绝接受
heist	抢劫/偷窃
loot	抢劫|掠夺物
loot	抢劫|掠夺物
loot	抢劫|掠夺物
